UI Name,#,Description
Circular Progress Dial,236,"Looks like a speedometer, filling clockwise with a needle pointing to the value."
Reading‑Time Badge,327,Shows “5‑min read” next to article title to set expectations.
Mini Sparkline Row,69,"Tiny inline graphs that trail key numbers, useful for showing trends without bulky charts."
Step Checklist List,142,Checklist list items each have a tick box to mark task completion.
Box‑and‑Whisker Chart,386,"Visualizes quartiles, medians, and outliers for statistical insight."
Table of Figures Panel,334,Sidebar list linking to each figure in long technical documents.
Corner Peel Badge,274,Small folded‑corner graphic on a card indicating “Beta” or discounts.
Bookmarkable Content Card,233,Includes a corner bookmark icon that toggles saved state without page reload.
Card with Bottom CTA Bar,196,Persistent button strip locked to the card’s bottom edge.
Newsletter Signup Bar,29,A thin strip with email field and button encouraging visitors to subscribe.
Flip Clock Countdown,217,"Retro‑style flip tiles counting down days, hours, minutes, seconds."
Pricing Card,10,"A card with price, plan name, bullet points, and a “Get Started” button."
Table Skeleton Rows,406,Faded table lines that pulse until data arrives.
Alphabetical Contact List,139,Groups list items under sticky A‑Z headings for easy scanning.
Balanced Scorecard Panel,181,"Four linked KPI boxes—Financial, Customer, Internal, Learning—shown in one block."
Video Testimonial Card,64,Combines a play‑button overlay with a quote snippet so users can either watch or read praise.
Scrolling Story Hero,226,"Hero that expands into a full‑screen narrative as the user scrolls, gradually revealing new text layers."
Related Articles Card Row,351,Three mini cards under an article suggesting further reading.
Inbox Conversation List,260,"Two‑line list items with avatar, subject, preview text, and timestamp."
Particle Canvas Background,215,Interactive particle dots that drift and connect on hover.
Parallax Hero Banner,51,"A full‑width hero in which the background image scrolls slower than the foreground text, adding depth to the page top."
Activity Feed Timeline,261,Vertical list of user actions with icons and relative time (“2 h ago”).
Wave Animation Background,214,Subtle looping wave pattern behind hero or footer areas.
Profile Card,47,"Displays user avatar, name, role, and short bio in a compact card."
Overlay Action Card,120,Buttons appear over the image portion of the card only when hovered.
Skewed Hero Section,53,"Uses angled background shapes behind the headline and CTA to create a dynamic, modern look."
Feature Card Carousel,62,Scrolls a row of feature cards side‑to‑side so users can browse many items in limited space.
Numbered List with Large Numerals,61,"Displays big, stylized 1‑2‑3 digits alongside short explanations for step‑based content."
Table Skeleton Rows,177,Faded table lines that pulse until data arrives.
Histogram Chart Block,157,Vertical bars grouped into bins to show data distribution.
Sticky Note Card,216,Card styled like a sticky note with a folded corner.
Lead‑In Eyebrow Label,326,Tiny uppercase label above the section headline giving category context.
Social Proof Bar,94,A slim strip noting “Trusted by 12 000+ designers worldwide” with tiny avatar faces.
Inline Equation Renderer,286,Renders LaTeX or MathML expressions as crisp math in articles.
3D Globe Data Points,173,Interactive spinning globe with raised spikes marking values.
Drill‑Down Breadcrumb Card,308,Breadcrumb path appears at top of card and updates as users navigate nested items.
Activity Timeline Card,143,Compact card summarizing latest actions with vertical timeline dots.
Scrollable Data Table,87,Keeps table headers fixed while the rows scroll in a constrained box.
Floating CTA Card,153,A small call‑to‑action card that hovers above the page corner as users scroll.
Floating Social Share Column,335,Column of share icons sticking to viewport edge while scrolling.
Auto‑Generated Audio Waveform,362,Generates a waveform graphic for any uploaded audio file.
Locked‑Premium Blurred Section,366,Blurs premium content with “Unlock Pro” overlay.
Heatmap Calendar (Year View),357,Tiny squares for each day of the year shaded by activity.
Typewriter Headline Effect,209,"Headline letters appear one at a time, mimicking typing."
Deferred Component Placeholder,370,Lightweight placeholder box swapped with real component after idle time.
Tag List Cloud,145,Alphabetized tags of varying sizes showing popularity.
Animated Gradient Background Section,212,"Slow, looping gradient animation behind the content."
Waterfall Chart Block,146,Bars cascade up and down to show cumulative gains and losses.
Statistic Donut Chart,68,A ring chart that shows percentage completion with the numeric value centered inside.
Virtualized Data Grid,259,"Renders only visible rows for massive datasets, ensuring smooth scrolling."
Blur‑Up Image Loader,373,Low‑res blurred image sharpens when full image finishes loading.
Rolling Number Animation,208,Each digit scrolls upward like an odometer to reach its target.
Quote Overlay on Image,75,Places large quotation marks and text over a semi‑darkened background photo.
Author Bio Snippet,74,"A small card with author photo, one‑sentence bio, and social links at the end of a post."
Timeline Horizontal,40,Spreads milestones across a horizontal line for wide screens.
Geo Bubble Map,403,Proportional circles plotted on regions to compare magnitudes.
Column Reorder Table,156,Users can drag a header to rearrange table columns on the fly.
Multi‑KPI Progress Row,182,Inline row of three to five mini progress bars tracking parallel goals.
Blog Masonry Grid,33,Staggers varying‑height post cards in snug columns without gaps.
Exit‑Intent Promo Modal,301,Detects cursor leaving top of viewport and slides in a last‑chance offer section.
Ribbon Tag List,80,A vertical string of colored tags enumerating categories or tech stacks next to an article.
Video Embed Block,36,"Holds a YouTube or Vimeo video in a responsive frame, preserving aspect ratio."
